input,b,output
0,58,51
1,1,51
2,13,223
3,92,42
4,45,243
5,171,191
6,232,132
7,110,4
8,197,240
9,148,156
10,213,76
11,221,210
12,46,195
13,168,209
14,169,208
15,249,76
16,117,152
17,94,91
18,4,170
19,9,76
20,42,84
21,254,28
22,213,144
23,47,1
24,236,190
25,85,109
26,121,97
27,169,81
28,114,3
29,177,233
30,58,136
31,110,120
32,133,223
33,61,44
34,41,101
35,166,33
36,203,199
37,113,108
38,104,109
39,49,14
40,148,106
41,234,241
42,104,253
43,233,99
44,82,235
45,114,58
46,94,145
47,183,11
48,76,56
49,133,129
50,66,81
51,63,19
52,138,195
53,181,45
54,57,167
55,210,62
56,14,163
57,92,201
58,167,50
59,255,10
60,95,163
61,185,64
62,154,116
63,96,16
64,160,48
65,196,90
66,85,253
67,83,98
68,0,42
69,243,145
70,191,81
71,243,146
72,132,33
73,110,49
74,96,44
75,133,123
76,128,128
77,123,37
78,156,39
79,129,2
80,59,52
81,176,217
82,198,149
83,223,113
84,28,82
85,165,219
86,225,230
87,252,90
88,77,148
89,102,72
90,74,14
91,97,112
92,144,74
93,29,33
94,254,84
95,167,215
96,80,88
97,90,59
98,25,156
99,219,83
100,11,27
101,219,28
102,20,5
103,58,71
104,119,32
105,4,209
106,177,41
107,240,96
108,163,143
109,226,46
110,10,176
111,252,50
112,221,165
113,93,82
114,237,202
115,70,181
116,136,78
117,236,188
118,253,91
119,48,89
120,212,152
121,39,180
122,58,142
123,183,158
124,219,156
125,99,221
126,229,248
127,46,58
128,168,240
129,122,15
130,100,62
131,69,119
132,89,26
133,176,43
134,96,82
135,224,90
136,170,163
137,171,138
138,184,255
139,97,86
140,152,106
141,68,11
142,223,133
143,180,45
144,14,25
145,90,6
146,11,179
147,16,185
148,204,163
149,139,223
150,37,169
151,115,36
152,215,142
153,209,6
154,143,114
155,122,179
156,185,90
157,76,232
158,230,92
159,82,67
160,29,29
161,106,28
162,5,7
163,59,174
164,150,175
165,61,86
166,99,19
167,75,6
168,134,169
169,73,125
170,161,76
171,157,172
172,250,75
173,116,243
174,94,186
175,110,225
176,11,247
177,116,212
178,51,182
179,112,180
180,130,230
181,187,238
182,193,243
183,130,136
184,134,222
185,216,202
186,104,71
187,81,81
188,29,180
189,2,187
190,11,33
191,248,93
192,239,176
193,116,160
194,174,81
195,109,234
196,219,39
197,37,179
198,84,202
199,84,119
200,113,229
201,251,219
202,238,3
203,1,61
204,35,71
205,52,124
206,243,206
207,108,150
208,248,109
209,28,32
210,13,75
211,133,55
212,40,170
213,218,225
214,120,178
215,194,98
216,18,206
217,215,239
218,214,227
219,65,180
220,154,37
221,211,182
222,45,73
223,160,153
224,164,52
225,135,178
226,211,90
227,95,150
228,59,58
229,134,165
230,124,75
231,178,222
232,121,147
233,66,101
234,126,226
235,255,234
236,186,193
237,130,112
238,246,157
239,87,156
240,240,54
241,27,31
242,17,75
243,254,131
244,162,223
245,148,117
246,76,248
247,164,96
248,66,119
249,64,234
250,216,173
251,128,134
252,219,184
253,111,61
254,183,44
255,214,225
