input, output
00000000,7179461271243560801
00000001,4021542122504480451
00000002,15201631266633368290
00000010,17140022626734156953
00000011,16797005060207714931
00000012,17385916075180479283
00000020,5351431999421677642
00000021,5229423179882446381
00000022,15488968740167890688
00000100,4872948906573638943
00000101,16635674826365747524
00000102,5467509848166033758
00000110,17860793168273354773
00000111,9581087343393720639
00000112,15265799851144733691
00000120,17426284318292309513
00000121,11321143307439192177
00000122,6296297078193958988
00000200,10213383588446666653
00000201,271663763904117550
00000202,3483148627025704241
00000210,6627991749175589123
00000211,10643248603327036754
00000212,16065057819620846494
00000220,11116002602648221993
00000221,11888533629994858877
00000222,1248964087058915003
00001000,4584833488519621878
00001001,4269291539831613087
00001002,18275547784076247965
00001010,4384232063462817166
00001011,8585691876111075854
00001012,3328568455275691663
00001020,12678509668684277612
00001021,5436645516077431358
00001022,14597881755457741103
00001100,776046256973250559
00001101,14739693810764174965
00001102,10802478386752000041
00001110,822949463734940071
00001111,16252709249265223912
00001112,14495540127008392023
00001120,14764070060931501104
00001121,5199445232589313231
00001122,18233864198342527656
00001200,11787552175451026557
00001201,2174311838359986778
00001202,3538677953340910755
00001210,8192754652261436523
00001211,7485746077468067057
00001212,7877961611066928401
00001220,5107012934440491653
00001221,13444052818413107537
00001222,14964263976043676891
00002000,7557191948223664178
00002001,73168071216889664
00002002,12166888410374922434
00002010,5150507787921628908
00002011,9586947321663178899
00002012,16760028665907773341
00002020,2599162078373780459
00002021,4592864052623369991
00002022,311929409867478395
00002100,1025732288361345772
00002101,1462869184216195739
00002102,8316997802785291032
00002110,7781299202878641587
00002111,4760053387968527804
00002112,3357616672542316422
00002120,9940673733827123463
00002121,8431169864102094935
00002122,8657685669894164715
00002200,16817704269560611576
00002201,16202741373703235493
00002202,9436196756698986265
00002210,10918945598500106452
00002211,5610940626886095271
00002212,16849068483309936120
00002220,16787694364712324007
00002221,229532940325976958
00002222,9309599557665087602
00010000,1303740051103314497
00010001,15623614950458111672
00010002,636532853715933563
00010010,2685115603284395532
00010011,13830876296398294328
00010012,1494579996653732645
00010020,15250130384368229622
00010021,17072606087296894834
00010022,5048556436585531482
00010100,6197099345221649697
00010101,17750161348236506651
00010102,7151844466725235222
00010110,2142644036134519246
00010111,14089733106281259181
00010112,2006474751963687132
00010120,6201164320997133554
00010121,9343759291538472893
00010122,1661471418032395365
00010200,17778131607582658036
00010201,15939868202082198886
00010202,11516255941570756468
00010210,14320366466575130022
00010211,9171041561887383922
00010212,354075762609006858
00010220,16107346671348864929
00010221,5667843697780255757
00010222,16724194476969283720
00011000,16464270572336941286
00011001,18176472466548854904
00011002,1625573650977209993
00011010,5547100802447550654
00011011,3552795283679751006
00011012,6528936606569724345
00011020,5583361140161399641
00011021,6947992657055642134
00011022,630947980699189051
00011100,1568578233831979117
00011101,8472214483527716140
00011102,6683925368915862093
00011110,9026570342404097871
00011111,8961527060389269867
00011112,5715731449246338124
00011120,9109493571642951870
00011121,17040271768619176850
00011122,16512930385362520605
00011200,15086965630064829036
00011201,10926517056496543787
00011202,17878280376029319535
00011210,10076662729285650216
00011211,7656147772769168016
00011212,4030548790275676519
00011220,13468233054590831221
00011221,14492156321717996893
00011222,3526284178735719941
00012000,561718849651539102
00012001,13825045716296255998
00012002,7260808459022038007
00012010,12232200589208233451
00012011,8670030716550713716
00012012,6893692642110873314
