b,block,input,output
0,1,0,209
0,1,1,24
0,1,2,39
0,1,3,223
0,1,4,177
0,1,5,47
0,1,6,95
0,1,7,7
0,1,8,152
0,1,9,155
0,1,10,117
0,1,11,84
0,1,12,176
0,1,13,41
0,1,14,49
0,1,15,157
0,1,16,135
0,1,17,5
0,1,18,167
0,1,19,227
0,1,20,118
0,1,21,119
0,1,22,138
0,1,23,133
0,1,24,36
0,1,25,64
0,1,26,20
0,1,27,243
0,1,28,83
0,1,29,88
0,1,30,31
0,1,31,166
0,1,32,122
0,1,33,13
0,1,34,20
0,1,35,4
0,1,36,189
0,1,37,233
0,1,38,116
0,1,39,14
0,1,40,38
0,1,41,158
0,1,42,236
0,1,43,79
0,1,44,33
0,1,45,94
0,1,46,88
0,1,47,251
0,1,48,141
0,1,49,149
0,1,50,63
0,1,51,89
0,1,52,220
0,1,53,92
0,1,54,100
0,1,55,114
0,1,56,211
0,1,57,150
0,1,58,72
0,1,59,244
0,1,60,146
0,1,61,252
0,1,62,235
0,1,63,12
0,1,64,5
0,1,65,48
0,1,66,251
0,1,67,22
0,1,68,243
0,1,69,153
0,1,70,213
0,1,71,115
0,1,72,157
0,1,73,28
0,1,74,168
0,1,75,149
0,1,76,86
0,1,77,16
0,1,78,107
0,1,79,68
0,1,80,13
0,1,81,121
0,1,82,53
0,1,83,69
0,1,84,61
0,1,85,200
0,1,86,180
0,1,87,133
0,1,88,208
0,1,89,134
0,1,90,204
0,1,91,194
0,1,92,83
0,1,93,111
0,1,94,193
0,1,95,185
0,1,96,90
0,1,97,17
0,1,98,249
0,1,99,20
0,1,100,188
0,1,101,165
0,1,102,142
0,1,103,14
0,1,104,128
0,1,105,61
0,1,106,157
0,1,107,75
0,1,108,232
0,1,109,191
0,1,110,88
0,1,111,70
0,1,112,4
0,1,113,194
0,1,114,211
0,1,115,219
0,1,116,95
0,1,117,224
0,1,118,248
0,1,119,147
0,1,120,117
0,1,121,8
0,1,122,216
0,1,123,175
0,1,124,174
0,1,125,212
0,1,126,227
0,1,127,56
0,1,128,133
0,1,129,200
0,1,130,18
0,1,131,181
0,1,132,84
0,1,133,249
0,1,134,65
0,1,135,181
0,1,136,31
0,1,137,174
0,1,138,243
0,1,139,135
0,1,140,177
0,1,141,139
0,1,142,220
0,1,143,79
0,1,144,44
0,1,145,11
0,1,146,111
0,1,147,228
0,1,148,3
0,1,149,98
0,1,150,29
0,1,151,58
0,1,152,30
0,1,153,77
0,1,154,22
0,1,155,221
0,1,156,165
0,1,157,165
0,1,158,215
0,1,159,232
0,1,160,39
0,1,161,2
0,1,162,126
0,1,163,43
0,1,164,112
0,1,165,9
0,1,166,135
0,1,167,49
0,1,168,96
0,1,169,38
0,1,170,66
0,1,171,73
0,1,172,125
0,1,173,199
0,1,174,51
0,1,175,78
0,1,176,53
0,1,177,89
0,1,178,131
0,1,179,120
0,1,180,164
0,1,181,114
0,1,182,94
0,1,183,128
0,1,184,239
0,1,185,161
0,1,186,151
0,1,187,86
0,1,188,248
0,1,189,235
0,1,190,244
0,1,191,81
0,1,192,116
0,1,193,107
0,1,194,5
0,1,195,114
0,1,196,39
0,1,197,7
0,1,198,86
0,1,199,183
0,1,200,190
0,1,201,164
0,1,202,185
0,1,203,241
0,1,204,181
0,1,205,150
0,1,206,195
0,1,207,36
0,1,208,244
0,1,209,170
0,1,210,86
0,1,211,97
0,1,212,245
0,1,213,104
0,1,214,243
0,1,215,242
0,1,216,156
0,1,217,78
0,1,218,139
0,1,219,221
0,1,220,249
0,1,221,154
0,1,222,72
0,1,223,203
0,1,224,144
0,1,225,110
0,1,226,196
0,1,227,135
0,1,228,24
0,1,229,60
0,1,230,204
0,1,231,182
0,1,232,42
0,1,233,220
0,1,234,50
0,1,235,203
0,1,236,162
0,1,237,25
0,1,238,79
0,1,239,100
0,1,240,74
0,1,241,98
0,1,242,114
0,1,243,188
0,1,244,46
0,1,245,193
0,1,246,9
0,1,247,150
0,1,248,64
0,1,249,199
0,1,250,144
0,1,251,17
0,1,252,13
0,1,253,149
0,1,254,110
0,1,255,108
0,2,0,77
0,2,1,210
0,2,2,17
0,2,3,5
0,2,4,64
