input, output
00000000,4138705844973047073
00000001,11394416754211011357
00000002,6363018658533719043
00000010,10197655971617168997
00000011,11963291348207866902
00000012,5994476198766371532
00000020,5424673861495424662
00000021,15311933749733982835
00000022,4456140198427146623
00000100,15923936991479556772
00000101,9006095008214832913
00000102,18224284222626557084
00000110,3223756153121202517
00000111,10773534049585413420
00000112,17151966380509710903
00000120,12233156734350624311
00000121,890564619151641008
00000122,13915170085184993730
00000200,9048650204814058084
00000201,8075159031546685766
00000202,8164574410638601114
00000210,16619454735735518141
00000211,14438857674430397162
00000212,12716260381860705483
00000220,17517768532866455529
00000221,10191303592113087453
00000222,17040443039929867848
00001000,10894511837291785549
00001001,8288784523658036773
00001002,11094192200480072250
00001010,6074732292087950283
00001011,15796357690850254459
00001012,6522437795078537677
00001020,5266517867381581238
00001021,12970397666661548806
00001022,11220068969165788859
00001100,74155169754515924
00001101,6246647292070806934
00001102,8654704396204409378
00001110,8785561652257274992
00001111,10875976635145192279
00001112,12613346703922685316
00001120,544715689336362505
00001121,10488219525258976207
00001122,6097591945755344151
00001200,7090763180085105085
00001201,228318666154558573
00001202,4716017803510811659
00001210,7105655293365675692
00001211,10102225332380248159
00001212,2596232583998502760
00001220,6734338382074955428
00001221,9400187297194132167
00001222,14209995332078532942
00002000,16713134622558894633
00002001,2509850620257811212
00002002,16612898701706710437
00002010,1649489311431490331
00002011,7683222595815565085
00002012,649890667145089687
00002020,17507970715844216043
00002021,5176061515076385533
00002022,9927026313544674204
00002100,7600340340697003393
00002101,14026800301943562967
00002102,13537544773284691295
00002110,2390939431991568196
00002111,6034132449310060428
00002112,13128129198055207307
00002120,7588797387918772528
00002121,15042536320419814478
00002122,2654434143477784743
00002200,16180309235512812045
00002201,15800349638556422519
00002202,2269359427566496080
00002210,13865016058000560764
00002211,10264456700759385767
00002212,12852580082991043167
00002220,1775318167841820595
00002221,17157455480473154221
00002222,2445810332371764974
00010000,17886551614064762305
00010001,3264823752835430048
00010002,12843336499222671074
00010010,8437299199796501438
00010011,15341514434593348616
00010012,17103191171075099034
00010020,12768032204072512180
00010021,8490905897462361321
00010022,5545700242363797140
00010100,10405321877618536775
00010101,2611597927957220713
00010102,9076820822678115815
00010110,17771096185104298976
00010111,8077756829546804537
00010112,7676926066374132734
00010120,5832744217834823359
00010121,2025109689739082309
00010122,13980452993660393338
00010200,847644319466643517
00010201,9847677951261254158
00010202,14584069382384714391
00010210,5571121931750754661
00010211,9522319700504061426
00010212,16768685344212363359
00010220,11685914070503777740
00010221,5134382619605338951
00010222,11406332008461627099
00011000,8094575606150854608
00011001,15907625318645422534
00011002,1540540065862271194
00011010,14497897622744108195
00011011,679535921269480135
00011012,2181213153612529384
00011020,12674186447889664641
00011021,14896796781677917464
00011022,1100596638252426746
00011100,13533199134626930234
00011101,12373274886865552045
00011102,18077823545593819077
00011110,11200348470515028677
00011111,9660534476173754594
00011112,11382620950779985204
00011120,928614113702303128
00011121,2193130928510923553
00011122,17489216630335060605
00011200,533723623691436552
00011201,9987978460573019845
00011202,8891350616526172908
00011210,7068959730265991406
00011211,12983113081847839386
00011212,10476284180098407145
00011220,11143673488670964449
00011221,4672518004124952595
00011222,14806558211232774719
00012000,13662620059280474767
00012001,12926390615831759047
00012002,14502285045098413784
00012010,6503278836241158670
00012011,6451637984962277764
00012012,9170495770453151498
00012020,6290558591537238081
00012021,14231357363570777201
00012022,17871536018115537203
00012100,14921064374580742092
00012101,12101299307426698593
00012102,4807437803508509418
00012110,6913406829740205740
00012111,11897154871119263402
00012112,6295762919307156002
00012120,5612294386797905209
00012121,18252093124681500508
00012122,5437635947310738255
00012200,3952683732602838886
00012201,2788994135383426605
00012202,13484062607353097017
00012210,14209445091535792358
00012211,8698186080744630632
00012212,16027117777119956075
00012220,17208931789334435680
00012221,14541909491101090058
00012222,17675091467105263171
00020000,16768805857941457741
00020001,8861998918472088560
00020002,10372440273348868666
00020010,13309672401178121640
00020011,1719433447597457702
00020012,11498249136724804862
00020020,694063652026977821
00020021,4835567148008199925
00020022,905390364084523455
00020100,16747896003543451490
00020101,14849964227134833885
00020102,3582491242524534990
00020110,5244805515140873363
00020111,7467046397659126788
00020112,15409253952054970305
00020120,2723592001231191049
00020121,12641638737510743605
00020122,17795101999447421164
00020200,16693993961155918968
00020201,11495355763809186875
00020202,1342678438472455829
00020210,14186345553875945363
00020211,7265798173202998765
00020212,10220263604204919160
00020220,1060012932725384885
00020221,11190736701778914439
00020222,9608565523034818992
00021000,3580425337351148074
00021001,18414952139824060464
00021002,15895029311040712796
00021010,13953845054070037644
00021011,9450870019178029167
00021012,10068970841765860310
00021020,1098053328392928547
00021021,4771520036200159356
00021022,18089410450393836416
00021100,11846852630318618058
00021101,12112448555349304591
00021102,11971230262377862787
00021110,14902350889942492690
00021111,13806110343329743060
00021112,9202530208632468392
00021120,18215602007935114242
00021121,4487242082259653745
00021122,2934741818052473244
00021200,12314381343811326915
00021201,4883018775629128445
00021202,11765836410451282620
00021210,13608835388272816119
00021211,14750545541660252655
00021212,376022063102706748
00021220,17758498534527267246
00021221,5926288553893891067
00021222,6369567153812664721
00022000,15887847625155227744
00022001,2136820834258541867
00022002,7705091596481402604
00022010,8583303460907870457
00022011,4187134883402722872
00022012,16850145720380524977
00022020,6993601451123567336
00022021,1845768096119801800
00022022,4533181907594696715
00022100,14157354146289371857
00022101,10621869537379121642
00022102,2817926721845505322
00022110,4993757377049430250
00022111,3203556179457672302
00022112,173412048308124995
00022120,1614641358841801647
00022121,16315017477279342475
00022122,7159556353994706036
00022200,12716179821142095763
00022201,11686552622970484295
00022202,16164233146753715630
00022210,16701280085500772737
00022211,12569712792400101815
00022212,11400295408048828413
00022220,5741713759723616848
00022221,3103827512456628999
00022222,17653412843533387796
00100000,8261570046632256672
00100001,3585399744377488747
00100002,8965558858941179315
00100010,17976330025426615164
00100011,2855264352775010651
00100012,5239265999118298434
00100020,18251947139708299748
00100021,8958695276951394859
00100022,8236374660458395063
00100100,16997727965235132276
00100101,17291486548545227216
00100102,15562166680057465728
00100110,6869789375176412525
00100111,1982836178794303178
00100112,292623346910179192
00100120,3447305591530173753
00100121,11011765599274877256
00100122,12716419330041349468
00100200,17351247160160963263
00100201,7499420585237081530
00100202,5165943588234367368
00100210,9548369781526480098
00100211,6207999778871112969
00100212,4705959543127636118
00100220,9474802356007439365
00100221,10761204031959669330
00100222,4425102246315509771
00101000,15671205359813095971
00101001,8813984901547730356
00101002,3589428402512554198
00101010,8605127017131116808
00101011,14389181353860121352
00101012,4478199450314939821
00101020,18422011283078508956
00101021,8634804953690060233
00101022,4988333439971693488
00101100,4829367279527505124
00101101,11103012139940793825
00101102,4725185219290805241
00101110,5168210289433266891
00101111,15950539826399094613
00101112,364323322963100737
00101120,9387777639596730502
00101121,6747348690670890487
00101122,12980891954664315424
00101200,17983517426540156073
00101201,7329870738936742816
00101202,15153438779254412823
00101210,9443195132854040556
00101211,215613450834045609
00101212,10691168463186352431
00101220,10555690706846899034
00101221,1573305271803393713
00101222,6630176281704993367
00102000,8575878148556281200
00102001,13954907599070322619
00102002,9242857464116669573
00102010,6384060540074968835
00102011,47637545578375099
00102012,10810117563005451438
00102020,12661324359662455865
00102021,4013043184537154859
00102022,10166602599514820699
00102100,10057006493935204632
00102101,762725096376352973
00102102,9670355039574423747
00102110,7286120464945256687
00102111,8224916472121157977
00102112,13703294675505902268
00102120,15368721218012011147
00102121,537888856134070447
00102122,519509605026398404
00102200,8926284559528205277
00102201,6319141093017399256
00102202,9521769352767589158
00102210,10292464660515479862
00102211,3007223429159723459
00102212,16053744186704465311
00102220,8573833300106188657
00102221,1289147497503900962
00102222,15033924143798702049
00110000,6532585279530573759
00110001,6621880657713378988
00110002,14919097120111543809
00110010,13880641575331113441
00110011,11767873867932750727
00110012,9450894803806091589
00110020,10382550312202926425
00110021,9651035239883331334
00110022,2858388976111345442
00110100,17773238447435891403
00110101,18032910861815229526
00110102,14176140401010913117
00110110,16253416966281003638
00110111,10228251177131992459
00110112,12189902858117694468
00110120,1244682283975708717
00110121,14544861661958466658
00110122,4210079514095260852
00110200,17257736081558313976
00110201,16321989636112259877
00110202,2277766306577775005
00110210,17974767678992773854
00110211,6912872460917271908
00110212,12490422100007644429
00110220,9128149067054967130
00110221,6283834004750871173
00110222,5345245918919105413
00111000,7774255766844115948
00111001,1177999338297775727
00111002,3537443899733882182
00111010,7639903254827974571
00111011,10231726756831904135
00111012,2919216817473549659
00111020,5882386567224854218
00111021,6399317063289744267
00111022,7024870843124416525
00111100,17576141605691470257
00111101,4703228768692214657
00111102,6412577884251152077
00111110,8308970725116903574
00111111,6996575135531474900
00111112,11151620785440227726
00111120,4768815587958174631
00111121,6195826006701629781
00111122,7705537744477286584
00111200,9401130324213409609
00111201,14232804161449923782
00111202,11215505845951959046
00111210,7831318044151029922
00111211,14636804609285611048
00111212,17766447900088088465
00111220,7877264247880275502
00111221,17840878967081612853
00111222,11695047946955255384
00112000,8592083340488916614
00112001,8807880172033738136
00112002,2706358798964421259
00112010,14205683703359107676
00112011,831447462397358084
00112012,17484711655835428513
00112020,3293083224345659874
00112021,8661420141094038374
00112022,18128947503253502299
00112100,12551889306368872063
00112101,17528753334863730712
00112102,13549190172400240695
00112110,4897327492975175489
00112111,1289897656038317464
00112112,10320080826293170868
00112120,2951515132719565730
00112121,12151896009927371195
00112122,11605506565461171385
00112200,18033344053639585316
00112201,297155888098721095
00112202,1757374450035848750
00112210,12759541477042637367
00112211,5398622533123967499
00112212,5177987512811687305
00112220,10708535565678384296
00112221,3802569973012676775
00112222,6249243453468230023
00120000,15410015145061457296
00120001,474039228505725707
00120002,10446242331626310550
00120010,14789782461646076534
00120011,13245896741970816713
00120012,9993929803200872561
00120020,7958143020441381348
00120021,3485392111634105809
00120022,8993561395407058050
00120100,13926099743910695606
00120101,12957095980294993920
00120102,15954808245372999652
00120110,13011187744458390133
00120111,16336921108025928799
00120112,398927974895105018
00120120,4073092185021889822
00120121,17846540079873219858
00120122,7796467163551814154
00120200,3353491544217962232
00120201,10712911769085001514
00120202,5040244023484272837
00120210,8794289323836222219
00120211,16410284812213565761
00120212,14917934052828762052
00120220,2244803825931000920
00120221,15145910181576917492
00120222,14785985096580163585
00121000,1892696493840291372
00121001,17020489099518871800
00121002,7657578451518019631
00121010,15152185283348679767
00121011,3405410529611969337
00121012,10791832638203961357
00121020,11344633743369835955
00121021,13816734782204545122
00121022,7312177329616206293
00121100,7016917969313022203
00121101,2664276766294492320
00121102,12611950966447293206
00121110,13206163683571269665
00121111,7871287432133198398
00121112,3514588847816512062
00121120,573954008318294626
00121121,13481277596549294398
00121122,5204533351060385949
00121200,6402294010377776728
00121201,15725242501697802208
00121202,15377646669784573506
00121210,13166769515045452020
00121211,7773533783938049555
00121212,12491602464780397090
00121220,6237535965591547122
