b,block,input,output
0,1,0,0
0,1,1,2
0,1,2,2
0,1,3,2
0,1,4,2
0,1,5,2
0,1,6,2
0,1,7,2
0,1,8,2
0,1,9,2
0,1,10,2
0,1,11,2
0,1,12,2
0,1,13,2
0,1,14,2
0,1,15,2
0,1,16,2
0,1,17,2
0,1,18,2
0,1,19,2
0,1,20,2
0,1,21,2
0,1,22,2
0,1,23,2
0,1,24,2
0,1,25,2
0,1,26,2
0,1,27,2
0,1,28,2
0,1,29,2
0,1,30,2
0,1,31,2
0,1,32,2
0,1,33,2
0,1,34,2
0,1,35,2
0,1,36,2
0,1,37,2
0,1,38,2
0,1,39,2
0,1,40,2
0,1,41,2
0,1,42,2
0,1,43,2
0,1,44,2
0,1,45,2
0,1,46,2
0,1,47,2
0,1,48,2
0,1,49,2
0,1,50,2
0,1,51,2
0,1,52,2
0,1,53,2
0,1,54,2
0,1,55,2
0,1,56,2
0,1,57,2
0,1,58,2
0,1,59,2
0,1,60,2
0,1,61,2
0,1,62,2
0,1,63,2
0,1,64,2
0,1,65,2
0,1,66,2
0,1,67,2
0,1,68,2
0,1,69,2
0,1,70,2
0,1,71,2
0,1,72,2
0,1,73,2
0,1,74,2
0,1,75,2
0,1,76,2
0,1,77,2
0,1,78,2
0,1,79,2
0,1,80,2
0,1,81,2
0,1,82,2
0,1,83,2
0,1,84,2
0,1,85,2
0,1,86,2
0,1,87,2
0,1,88,2
0,1,89,2
0,1,90,2
0,1,91,2
0,1,92,2
0,1,93,2
0,1,94,2
0,1,95,2
0,1,96,2
0,1,97,2
0,1,98,2
0,1,99,2
0,1,100,2
0,1,101,2
0,1,102,2
0,1,103,2
0,1,104,2
0,1,105,2
0,1,106,2
0,1,107,2
0,1,108,2
0,1,109,2
0,1,110,2
0,1,111,2
0,1,112,2
0,1,113,2
0,1,114,2
0,1,115,2
0,1,116,2
0,1,117,2
0,1,118,2
0,1,119,2
0,1,120,2
0,1,121,2
0,1,122,2
0,1,123,2
0,1,124,2
0,1,125,2
0,1,126,2
0,1,127,2
0,1,128,2
0,1,129,2
0,1,130,2
0,1,131,2
0,1,132,2
0,1,133,2
0,1,134,2
0,1,135,2
0,1,136,2
0,1,137,2
0,1,138,2
0,1,139,2
0,1,140,2
0,1,141,2
0,1,142,2
0,1,143,2
0,1,144,2
0,1,145,2
0,1,146,2
0,1,147,2
0,1,148,2
0,1,149,2
0,1,150,2
0,1,151,2
0,1,152,2
0,1,153,2
0,1,154,2
0,1,155,2
0,1,156,2
0,1,157,2
0,1,158,2
0,1,159,2
0,1,160,2
0,1,161,2
0,1,162,2
0,1,163,2
0,1,164,2
0,1,165,2
0,1,166,2
0,1,167,2
0,1,168,2
0,1,169,2
0,1,170,2
0,1,171,2
0,1,172,2
0,1,173,2
0,1,174,2
0,1,175,2
0,1,176,2
0,1,177,2
0,1,178,2
0,1,179,2
0,1,180,2
0,1,181,2
0,1,182,2
0,1,183,2
0,1,184,2
0,1,185,2
0,1,186,2
0,1,187,2
0,1,188,2
0,1,189,2
0,1,190,2
0,1,191,2
0,1,192,2
0,1,193,2
0,1,194,2
0,1,195,2
0,1,196,2
0,1,197,2
0,1,198,2
0,1,199,2
0,1,200,2
0,1,201,2
0,1,202,2
0,1,203,2
0,1,204,2
0,1,205,2
0,1,206,2
0,1,207,2
0,1,208,2
0,1,209,2
0,1,210,2
0,1,211,2
0,1,212,2
0,1,213,2
0,1,214,2
0,1,215,2
0,1,216,2
0,1,217,2
0,1,218,2
0,1,219,2
0,1,220,2
0,1,221,2
0,1,222,2
0,1,223,2
0,1,224,2
0,1,225,2
0,1,226,2
0,1,227,2
0,1,228,2
0,1,229,2
0,1,230,2
0,1,231,2
0,1,232,2
0,1,233,2
0,1,234,2
0,1,235,2
0,1,236,2
0,1,237,2
0,1,238,2
0,1,239,2
0,1,240,2
0,1,241,2
0,1,242,2
0,1,243,2
0,1,244,2
0,1,245,2
0,1,246,2
0,1,247,2
0,1,248,2
0,1,249,2
0,1,250,2
0,1,251,2
0,1,252,2
0,1,253,2
0,1,254,2
0,1,255,2
0,2,0,0
0,2,1,2
0,2,2,2
0,2,3,2
0,2,4,2
0,2,5,2
0,2,6,2
0,2,7,2
0,2,8,2
0,2,9,2
0,2,10,2
0,2,11,2
0,2,12,2
0,2,13,2
0,2,14,2
0,2,15,2
0,2,16,2
0,2,17,2
0,2,18,2
0,2,19,2
0,2,20,2
0,2,21,2
0,2,22,2
0,2,23,2
0,2,24,2
0,2,25,2
0,2,26,2
0,2,27,2
0,2,28,2
0,2,29,2
0,2,30,2
0,2,31,2
0,2,32,2
0,2,33,2
0,2,34,2
0,2,35,2
0,2,36,2
0,2,37,2
0,2,38,2
0,2,39,2
0,2,40,2
0,2,41,2
0,2,42,2
0,2,43,2
0,2,44,2
0,2,45,2
0,2,46,2
0,2,47,2
0,2,48,2
0,2,49,2
0,2,50,2
0,2,51,2
0,2,52,2
0,2,53,2
0,2,54,2
0,2,55,2
0,2,56,2
0,2,57,2
0,2,58,2
0,2,59,2
0,2,60,2
0,2,61,2
